year,region,num_entrant
2013,Seoul,74125
2013,Jongno-gu,980
2013,Jung-gu,949
2013,Yongsan-gu ,1408
2013,Seongdong-gu,2214
2013,Gwangjin-gu,2693
2013,Dongdaemun-gu,2504
2013,Jungnang-gu,2752
2013,Seongbuk-gu,4034
2013,Gangbuk-gu,1965
2013,Dobong-gu,2879
2013,Nowon-gu,4883
2013,Eunpyeong-gu,4140
2013,Seodaemun-gu,2278
2013,Mapo-gu,2818
2013,Yangcheon-gu,3765
2013,Gangseo-gu,4424
2013,Guro-gu,3363
2013,Geumcheon-gu,1661
2013,Yeongdeungpo-gu,2668
2013,Dongjak-gu,3014
2013,Gwanak-gu,3033
2013,Seocho-gu,3552
2013,Gangnam-gu,3346
2013,Songpa-gu,5202
2013,Gang Dong-gu,3600
2014,Seoul,79656
2014,Jongno-gu,1052
2014,Jung-gu,1090
2014,Yongsan-gu ,1593
2014,Seongdong-gu,2404
2014,Gwangjin-gu,2819
2014,Dongdaemun-gu,2693
2014,Jungnang-gu,2884
2014,Seongbuk-gu,4247
2014,Gangbuk-gu,2046
2014,Dobong-gu,3153
2014,Nowon-gu,5184
2014,Eunpyeong-gu,4381
2014,Seodaemun-gu,2216
2014,Mapo-gu,3112
2014,Yangcheon-gu,4107
2014,Gangseo-gu,4814
2014,Guro-gu,3674
2014,Geumcheon-gu,1718
2014,Yeongdeungpo-gu,2854
2014,Dongjak-gu,3181
2014,Gwanak-gu,3230
2014,Seocho-gu,3832
2014,Gangnam-gu,3856
2014,Songpa-gu,5712
2014,Gang Dong-gu,3804
2015,Seoul,75258
2015,Jongno-gu,979
2015,Jung-gu,978
2015,Yongsan-gu ,1417
2015,Seongdong-gu,2150
2015,Gwangjin-gu,2606
2015,Dongdaemun-gu,2597
2015,Jungnang-gu,2837
2015,Seongbuk-gu,3897
2015,Gangbuk-gu,1857
2015,Dobong-gu,2829
2015,Nowon-gu,4889
2015,Eunpyeong-gu,3945
2015,Seodaemun-gu,2139
2015,Mapo-gu,2922
2015,Yangcheon-gu,4078
2015,Gangseo-gu,4766
2015,Guro-gu,3494
2015,Geumcheon-gu,1550
2015,Yeongdeungpo-gu,2589
2015,Dongjak-gu,2908
2015,Gwanak-gu,3015
2015,Seocho-gu,3949
2015,Gangnam-gu,3987
2015,Songpa-gu,5201
2015,Gang Dong-gu,3679
2016,Seoul,69944
2016,Jongno-gu,875
2016,Jung-gu,882
2016,Yongsan-gu ,1285
2016,Seongdong-gu,1995
2016,Gwangjin-gu,2434
2016,Dongdaemun-gu,2347
2016,Jungnang-gu,2597
2016,Seongbuk-gu,3592
2016,Gangbuk-gu,1778
2016,Dobong-gu,2715
2016,Nowon-gu,4336
2016,Eunpyeong-gu,3738
2016,Seodaemun-gu,2217
2016,Mapo-gu,2642
2016,Yangcheon-gu,3614
2016,Gangseo-gu,4420
2016,Guro-gu,3330
2016,Geumcheon-gu,1514
2016,Yeongdeungpo-gu,2401
2016,Dongjak-gu,2813
2016,Gwanak-gu,2733
2016,Seocho-gu,3661
2016,Gangnam-gu,3709
2016,Songpa-gu,5079
2016,Gang Dong-gu,3237
2017,Seoul,72529
2017,Jongno-gu,927
2017,Jung-gu,858
2017,Yongsan-gu ,1250
2017,Seongdong-gu,2105
2017,Gwangjin-gu,2560
2017,Dongdaemun-gu,2394
2017,Jungnang-gu,2654
2017,Seongbuk-gu,3727
2017,Gangbuk-gu,1792
2017,Dobong-gu,2740
2017,Nowon-gu,4474
2017,Eunpyeong-gu,3801
2017,Seodaemun-gu,2286
2017,Mapo-gu,2712
2017,Yangcheon-gu,3819
2017,Gangseo-gu,4541
2017,Guro-gu,3469
2017,Geumcheon-gu,1612
2017,Yeongdeungpo-gu,2369
2017,Dongjak-gu,2957
2017,Gwanak-gu,2779
2017,Seocho-gu,4038
2017,Gangnam-gu,3953
2017,Songpa-gu,5301
2017,Gang Dong-gu,3411
2018,Seoul,70686
2018,Jongno-gu,861
2018,Jung-gu,897
2018,Yongsan-gu ,1225
2018,Seongdong-gu,2109
2018,Gwangjin-gu,2494
2018,Dongdaemun-gu,2309
2018,Jungnang-gu,2656
2018,Seongbuk-gu,3596
2018,Gangbuk-gu,1754
2018,Dobong-gu,2595
2018,Nowon-gu,4242
2018,Eunpyeong-gu,3630
2018,Seodaemun-gu,2162
2018,Mapo-gu,2462
2018,Yangcheon-gu,3739
2018,Gangseo-gu,4826
2018,Guro-gu,3327
2018,Geumcheon-gu,1566
2018,Yeongdeungpo-gu,2448
2018,Dongjak-gu,2811
2018,Gwanak-gu,2695
2018,Seocho-gu,3863
2018,Gangnam-gu,3970
2018,Songpa-gu,5221
2018,Gang Dong-gu,3228
2019,Seoul,72171
2019,Jongno-gu,946
2019,Jung-gu,925
2019,Yongsan-gu ,1260
2019,Seongdong-gu,2152
2019,Gwangjin-gu,2603
2019,Dongdaemun-gu,2325
2019,Jungnang-gu,2722
2019,Seongbuk-gu,3542
2019,Gangbuk-gu,1713
2019,Dobong-gu,2608
2019,Nowon-gu,4326
2019,Eunpyeong-gu,3686
2019,Seodaemun-gu,2246
2019,Mapo-gu,2561
2019,Yangcheon-gu,3741
2019,Gangseo-gu,4976
2019,Guro-gu,3310
2019,Geumcheon-gu,1663
2019,Yeongdeungpo-gu,2570
2019,Dongjak-gu,2803
2019,Gwanak-gu,2595
2019,Seocho-gu,3844
2019,Gangnam-gu,4104
2019,Songpa-gu,5654
2019,Gang Dong-gu,3296
2020,Seoul,64898
2020,Jongno-gu,764
2020,Jung-gu,901
2020,Yongsan-gu ,1087
2020,Seongdong-gu,1926
2020,Gwangjin-gu,2250
2020,Dongdaemun-gu,2127
2020,Jungnang-gu,2377
2020,Seongbuk-gu,3145
2020,Gangbuk-gu,1528
2020,Dobong-gu,2247
2020,Nowon-gu,3856
2020,Eunpyeong-gu,3171
2020,Seodaemun-gu,2188
2020,Mapo-gu,2193
2020,Yangcheon-gu,3518
2020,Gangseo-gu,4327
2020,Guro-gu,3039
2020,Geumcheon-gu,1345
2020,Yeongdeungpo-gu,2282
2020,Dongjak-gu,2557
2020,Gwanak-gu,2310
2020,Seocho-gu,3452
2020,Gangnam-gu,3906
2020,Songpa-gu,4982
2020,Gang Dong-gu,3420
2021,Seoul,63690
2021,Jongno-gu,772
2021,Jung-gu,817
2021,Yongsan-gu ,1099
2021,Seongdong-gu,1886
2021,Gwangjin-gu,2146
2021,Dongdaemun-gu,2167
2021,Jungnang-gu,2215
2021,Seongbuk-gu,3175
2021,Gangbuk-gu,1394
2021,Dobong-gu,2249
2021,Nowon-gu,3751
2021,Eunpyeong-gu,3074
2021,Seodaemun-gu,2225
2021,Mapo-gu,2298
2021,Yangcheon-gu,3389
2021,Gangseo-gu,4005
2021,Guro-gu,2799
2021,Geumcheon-gu,1314
2021,Yeongdeungpo-gu,2400
2021,Dongjak-gu,2525
2021,Gwanak-gu,2174
2021,Seocho-gu,3413
2021,Gangnam-gu,3618
2021,Songpa-gu,5022
2021,Gang Dong-gu,3763
