year,region,total_stu,total_teacher,sum
2013,Seoul,469392,29751,499143
2013,Jongno-gu,6561,502,7063
2013,Jung-gu,6066,427,6493
2013,Yongsan-gu ,8763,627,9390
2013,Seongdong-gu,13713,956,14669
2013,Gwangjin-gu,16482,1025,17507
2013,Dongdaemun-gu,15439,982,16421
2013,Jungnang-gu,17369,1146,18515
2013,Seongbuk-gu,24544,1443,25987
2013,Gangbuk-gu,13005,801,13806
2013,Dobong-gu,18763,1120,19883
2013,Nowon-gu,33518,2007,35525
2013,Eunpyeong-gu,25395,1556,26951
2013,Seodaemun-gu,14444,918,15362
2013,Mapo-gu,17375,1182,18557
2013,Yangcheon-gu,26349,1583,27932
2013,Gangseo-gu,28241,1747,29988
2013,Guro-gu,19788,1299,21087
2013,Geumcheon-gu,10406,763,11169
2013,Yeongdeungpo-gu,15941,1128,17069
2013,Dongjak-gu,18171,1135,19306
2013,Gwanak-gu,19157,1243,20400
2013,Seocho-gu,21579,1234,22813
2013,Gangnam-gu,22280,1442,23722
2013,Songpa-gu,33307,2058,35365
2013,Gang Dong-gu,22736,1427,24163
2014,Seoul,457517,29613,487130
2014,Jongno-gu,6233,489,6722
2014,Jung-gu,5854,417,6271
2014,Yongsan-gu ,8529,615,9144
2014,Seongdong-gu,13174,946,14120
2014,Gwangjin-gu,16086,1040,17126
2014,Dongdaemun-gu,15110,976,16086
2014,Jungnang-gu,16801,1141,17942
2014,Seongbuk-gu,23948,1448,25396
2014,Gangbuk-gu,12402,793,13195
2014,Dobong-gu,18014,1111,19125
2014,Nowon-gu,31890,1987,33877
2014,Eunpyeong-gu,24688,1543,26231
2014,Seodaemun-gu,13645,914,14559
2014,Mapo-gu,17050,1160,18210
2014,Yangcheon-gu,25446,1542,26988
2014,Gangseo-gu,27387,1735,29122
2014,Guro-gu,19562,1303,20865
2014,Geumcheon-gu,9912,751,10663
2014,Yeongdeungpo-gu,15499,1123,16622
2014,Dongjak-gu,17916,1110,19026
2014,Gwanak-gu,18364,1224,19588
2014,Seocho-gu,22144,1290,23434
2014,Gangnam-gu,22665,1475,24140
2014,Songpa-gu,33028,2068,35096
2014,Gang Dong-gu,22170,1412,23582
2015,Seoul,450675,29627,480302
2015,Jongno-gu,6084,475,6559
2015,Jung-gu,5739,412,6151
2015,Yongsan-gu ,8210,612,8822
2015,Seongdong-gu,12641,939,13580
2015,Gwangjin-gu,15760,1049,16809
2015,Dongdaemun-gu,14916,975,15891
2015,Jungnang-gu,16472,1127,17599
2015,Seongbuk-gu,23306,1473,24779
2015,Gangbuk-gu,11879,795,12674
2015,Dobong-gu,17408,1114,18522
2015,Nowon-gu,31048,1949,32997
2015,Eunpyeong-gu,23918,1519,25437
2015,Seodaemun-gu,13171,881,14052
2015,Mapo-gu,17117,1174,18291
2015,Yangcheon-gu,25237,1526,26763
2015,Gangseo-gu,27960,1778,29738
2015,Guro-gu,19363,1298,20661
2015,Geumcheon-gu,9610,718,10328
2015,Yeongdeungpo-gu,15078,1117,16195
2015,Dongjak-gu,17474,1115,18589
2015,Gwanak-gu,17747,1227,18974
2015,Seocho-gu,22817,1289,24106
2015,Gangnam-gu,24007,1556,25563
2015,Songpa-gu,32093,2085,34178
2015,Gang Dong-gu,21620,1424,23044
2016,Seoul,436121,29448,465569
2016,Jongno-gu,5686,451,6137
2016,Jung-gu,5474,405,5879
2016,Yongsan-gu ,7923,604,8527
2016,Seongdong-gu,12352,963,13315
2016,Gwangjin-gu,15327,1041,16368
2016,Dongdaemun-gu,14212,951,15163
2016,Jungnang-gu,15779,1103,16882
2016,Seongbuk-gu,22467,1459,23926
2016,Gangbuk-gu,11225,761,11986
2016,Dobong-gu,16760,1087,17847
2016,Nowon-gu,29482,1915,31397
2016,Eunpyeong-gu,23037,1491,24528
2016,Seodaemun-gu,13331,941,14272
2016,Mapo-gu,16361,1164,17525
2016,Yangcheon-gu,24825,1536,26361
2016,Gangseo-gu,27048,1774,28822
2016,Guro-gu,19143,1308,20451
2016,Geumcheon-gu,9189,702,9891
2016,Yeongdeungpo-gu,14449,1099,15548
2016,Dongjak-gu,16887,1099,17986
2016,Gwanak-gu,16883,1198,18081
2016,Seocho-gu,22595,1323,23918
2016,Gangnam-gu,24190,1573,25763
2016,Songpa-gu,31048,2106,33154
2016,Gang Dong-gu,20448,1394,21842
2017,Seoul,428333,29191,457524
2017,Jongno-gu,5561,466,6027
2017,Jung-gu,5283,398,5681
2017,Yongsan-gu ,7624,581,8205
2017,Seongdong-gu,12047,954,13001
2017,Gwangjin-gu,15029,1034,16063
2017,Dongdaemun-gu,13930,938,14868
2017,Jungnang-gu,15419,1087,16506
2017,Seongbuk-gu,21897,1399,23296
