year,region,num_school,num_class,total_stu,man_stu,women_stu,total_teacher,man_teacher,women_teacher,total_employee,man_employee,women_emplyee,num_graduate,num_entrant,area,build_area
2013,Seoul,597,19149,469392,242705,226687,29751,4285,25466,3174,1500,1674,102219,74125,7300,5553
2013,Jongno-gu,14,304,6561,3466,3095,502,73,429,70,36,34,1549,980,132,103
2013,Jung-gu,12,268,6066,3077,2989,427,78,349,75,39,36,1203,949,117,96
2013,Yongsan-gu ,15,389,8763,4522,4241,627,70,557,70,35,35,1847,1408,188,125
2013,Seongdong-gu,20,588,13713,6989,6724,956,122,834,116,56,60,2872,2214,249,215
2013,Gwangjin-gu,22,674,16482,8487,7995,1025,131,894,121,63,58,3738,2693,255,203
2013,Dongdaemun-gu,21,662,15439,7872,7567,982,154,828,119,58,61,3324,2504,286,204
2013,Jungnang-gu,22,740,17369,8968,8401,1146,163,983,114,55,59,3979,2752,256,254
2013,Seongbuk-gu,29,972,24544,12708,11836,1443,265,1178,159,80,79,4784,4034,340,300
2013,Gangbuk-gu,14,521,13005,6660,6345,801,145,656,83,45,38,2913,1965,207,146
2013,Dobong-gu,23,775,18763,9667,9096,1120,235,885,121,64,57,4181,2879,278,215
2013,Nowon-gu,42,1348,33518,17296,16222,2007,391,1616,233,117,116,7918,4883,489,357
2013,Eunpyeong-gu,31,1036,25395,13119,12276,1556,249,1307,158,79,79,5425,4140,432,297
2013,Seodaemun-gu,18,600,14444,7370,7074,918,124,794,108,60,48,2982,2278,184,176
2013,Mapo-gu,22,719,17375,8905,8470,1182,149,1033,112,44,68,3541,2818,224,208
2013,Yangcheon-gu,30,1055,26349,13681,12668,1583,205,1378,165,81,84,6220,3765,356,277
2013,Gangseo-gu,36,1143,28241,14520,13721,1747,257,1490,183,79,104,5947,4424,433,296
2013,Guro-gu,24,817,19788,10289,9499,1299,195,1104,121,52,69,3966,3363,311,232
2013,Geumcheon-gu,18,456,10406,5321,5085,763,122,641,88,32,56,2247,1661,197,144
2013,Yeongdeungpo-gu,23,695,15941,8394,7547,1128,157,971,123,56,67,3274,2668,316,211
2013,Dongjak-gu,21,724,18171,9354,8817,1135,155,980,118,56,62,3503,3014,241,202
2013,Gwanak-gu,22,774,19157,9948,9209,1243,167,1076,117,50,67,3977,3033,279,214
2013,Seocho-gu,24,790,21579,11110,10469,1234,127,1107,121,47,74,4462,3552,303,196
2013,Gangnam-gu,31,879,22280,11661,10619,1442,121,1321,155,67,88,5698,3346,434,304
2013,Songpa-gu,37,1292,33307,17418,15889,2058,247,1811,191,83,108,7496,5202,447,343
2013,Gang Dong-gu,26,928,22736,11903,10833,1427,183,1244,133,66,67,5173,3600,348,235
2014,Seoul,599,18854,457517,236330,221187,29613,4180,25433,3240,1525,1715,88172,79656,7292,5674
2014,Jongno-gu,14,294,6233,3297,2936,489,70,419,71,34,37,1317,1052,131,103
2014,Jung-gu,12,254,5854,2945,2909,417,70,347,79,43,36,1088,1090,121,98
2014,Yongsan-gu ,15,375,8529,4363,4166,615,71,544,72,35,37,1646,1593,193,117
2014,Seongdong-gu,20,581,13174,6641,6533,946,118,828,118,57,61,2418,2404,227,222
2014,Gwangjin-gu,22,664,16086,8180,7906,1040,140,900,124,68,56,3053,2819,247,202
2014,Dongdaemun-gu,21,637,15110,7792,7318,976,149,827,123,59,64,2842,2693,286,206
2014,Jungnang-gu,23,728,16801,8645,8156,1141,163,978,118,57,61,3287,2884,268,273
2014,Seongbuk-gu,29,965,23948,12395,11553,1448,262,1186,162,81,81,4341,4247,338,302
2014,Gangbuk-gu,14,506,12402,6360,6042,793,142,651,86,47,39,2489,2046,205,147
2014,Dobong-gu,23,756,18014,9292,8722,1111,226,885,117,60,57,3565,3153,278,217
2014,Nowon-gu,42,1322,31890,16431,15459,1987,395,1592,235,113,122,6722,5184,485,364
2014,Eunpyeong-gu,31,1022,24688,12794,11894,1543,232,1311,162,78,84,4623,4381,431,301
2014,Seodaemun-gu,18,572,13645,6916,6729,914,127,787,107,53,54,2818,2216,193,179
2014,Mapo-gu,22,716,17050,8720,8330,1160,143,1017,113,52,61,3124,3112,241,211
2014,Yangcheon-gu,30,1024,25446,13249,12197,1542,188,1354,169,80,89,5547,4107,354,285
2014,Gangseo-gu,36,1126,27387,14124,13263,1735,259,1476,188,80,108,5186,4814,430,305
2014,Guro-gu,24,811,19562,10095,9467,1303,186,1117,123,53,70,3433,3674,309,233
2014,Geumcheon-gu,18,439,9912,5054,4858,751,119,632,89,38,51,1946,1718,198,146
2014,Yeongdeungpo-gu,23,686,15499,8166,7333,1123,144,979,120,59,61,2805,2854,304,214
2014,Dongjak-gu,21,705,17916,9328,8588,1110,157,953,120,56,64,3168,3181,239,203
2014,Gwanak-gu,22,762,18364,9470,8894,1224,163,1061,118,55,63,3479,3230,280,217
2014,Seocho-gu,24,816,22144,11382,10762,1290,128,1162,132,51,81,4014,3832,303,198
2014,Gangnam-gu,31,885,22665,11857,10808,1475,124,1351,159,69,90,4625,3856,422,339
2014,Songpa-gu,38,1303,33028,17182,15846,2068,227,1841,197,84,113,6385,5712,460,357
2014,Gang Dong-gu,26,905,22170,11652,10518,1412,177,1235,138,63,75,4251,3804,350,237
2015,Seoul,599,18780,450675,232428,218247,29627,4050,25577,3232,1500,1732,78066,75258,7236,5755
2015,Jongno-gu,14,288,6084,3200,2884,475,61,414,69,33,36,1150,979,122,106
2015,Jung-gu,12,247,5739,2857,2882,412,65,347,77,40,37,946,978,117,98
2015,Yongsan-gu ,15,369,8210,4159,4051,612,71,541,73,36,37,1431,1417,190,117
2015,Seongdong-gu,20,569,12641,6420,6221,939,115,824,116,60,56,2166,2150,224,222
2015,Gwangjin-gu,22,663,15760,8045,7715,1049,141,908,125,62,63,2759,2606,247,203
2015,Dongdaemun-gu,21,629,14916,7705,7211,975,137,838,117,61,56,2517,2597,280,210
2015,Jungnang-gu,23,718,16472,8404,8068,1127,153,974,121,56,65,2868,2837,268,273
2015,Seongbuk-gu,29,949,23306,12100,11206,1473,246,1227,158,77,81,3846,3897,338,302
2015,Gangbuk-gu,14,491,11879,6081,5798,795,154,641,80,42,38,2195,1857,205,149
2015,Dobong-gu,23,749,17408,8937,8471,1114,216,898,117,59,58,3074,2829,276,217
2015,Nowon-gu,42,1301,31048,15980,15068,1949,370,1579,238,112,126,5758,4889,484,363
2015,Eunpyeong-gu,30,984,23918,12421,11497,1519,217,1302,160,82,78,4197,3945,399,298
2015,Seodaemun-gu,18,563,13171,6620,6551,881,126,755,109,52,57,2330,2139,187,179
2015,Mapo-gu,22,720,17117,8788,8329,1174,134,1040,115,50,65,2681,2922,241,212
2015,Yangcheon-gu,30,1024,25237,13141,12096,1526,185,1341,167,76,91,4822,4078,355,287
2015,Gangseo-gu,36,1177,27960,14259,13701,1778,262,1516,193,86,107,4745,4766,418,335
2015,Guro-gu,24,814,19363,9987,9376,1298,188,1110,121,51,70,3073,3494,309,233
2015,Geumcheon-gu,17,430,9610,4898,4712,718,113,605,87,39,48,1573,1550,193,144
